Date,Income,Expense,Category,Mode of Payment,Description,Balance
2021-02-16,277.77,40.52,Gas,Cash,Gas refill for car,-2896.12
2021-02-17,277.77,1039.16,Rent + Utilities,Google Pay,Utilities payment,-4700.15
2021-02-17,277.77,13.06,Food,Google Pay,Dinner from restaurant,-3674.05
2021-02-17,277.77,29.26,Miscellaneous,Google Pay,Bought a book,-3690.25
2021-02-18,277.77,41.75,Gas,Cash,Gas refill for car,-4506.45
2021-02-18,277.77,527.32,Health,Credit Card,Hospital bill,-4992.02
2021-02-19,277.77,17.98,Food,Cash,Breakfast at diner,-4773.98
2021-02-19,277.77,43.62,Gas,Cash,Gas refill for car,-4799.62
2021-02-19,277.77,20.53,Groceries,Cash,Weekly grocery shopping,-4776.53
2021-02-19,277.77,283.13,Health,Google Pay,Doctor appointment,-5039.13
2021-02-20,277.77,10.82,Food,Google Pay,Dinner from restaurant,-4854.31
2021-02-20,277.77,27.65,Groceries,Cash,Restocking pantry items,-4871.14
2021-02-20,277.77,361.23,Health,Amazon Pay,Hospital bill,-5204.72
2021-02-20,277.77,21.09,Subscriptions,Credit Card,Spotify Premium,-4864.58
2021-02-20,277.77,14.24,Miscellaneous,Credit Card,Bought a book,-4857.73
2021-02-21,277.77,15.65,Food,Cash,Takeout lunch,-5016.4
2021-02-21,277.77,48.16,Groceries,Cash,Restocking pantry items,-5048.91
2021-02-22,277.77,1035.12,Rent + Utilities,Credit Card,Utilities payment,-5821.91
2021-02-22,277.77,57.55,Gas,Credit Card,Gas refill for car,-4844.34
2021-02-22,277.77,90.61,Groceries,Google Pay,Restocking pantry items,-4877.4
2021-02-22,277.77,77.09,Travel,Google Pay,Vacation flight tickets,-4863.88
2021-02-22,277.77,20.5,Miscellaneous,Google Pay,Bought a book,-4807.29
2021-02-23,277.77,1024.26,Rent + Utilities,Credit Card,Monthly rent,-6814.15
2021-02-23,277.77,90.49,Groceries,Cash,Weekly grocery shopping,-5880.38
2021-02-24,277.77,1023.16,Rent + Utilities,Credit Card,Monthly rent,-7650.03
2021-02-24,277.77,59.67,Gas,Amazon Pay,Gas refill for car,-6686.54
2021-02-24,277.77,25.25,Subscriptions,Google Pay,Amazon Prime,-6652.12
2021-02-24,277.77,43.53,Miscellaneous,Amazon Pay,Gift for friend,-6670.4
2021-02-25,277.77,1024.78,Rent + Utilities,Credit Card,Utilities payment,-8525.49
2021-02-25,277.77,13.53,Food,Amazon Pay,Takeout lunch,-7514.24
2021-02-26,277.77,53.88,Gas,Amazon Pay,Gas refill for car,-8315.13
2021-02-26,277.77,66.45,Travel,Cash,Hotel booking,-8327.7
2021-02-26,277.77,17.06,Miscellaneous,Amazon Pay,Gift for friend,-8278.31
2021-02-27,277.77,180.44,Travel,Google Pay,Hotel booking,-8301.31
2021-02-28,277.77,1033.78,Rent + Utilities,Amazon Pay,Utilities payment,-9057.32
2021-02-28,277.77,13.1,Food,Credit Card,Takeout lunch,-8036.64
2021-02-28,277.77,25.21,Groceries,Amazon Pay,Weekly grocery shopping,-8048.75
2021-02-28,277.77,315.64,Health,Amazon Pay,Hospital bill,-8339.18
2021-02-28,277.77,13.48,Miscellaneous,Credit Card,Gift for friend,-8037.02
2021-03-01,277.77,43.32,Gas,Google Pay,Gas refill for car,-857.2
2021-03-01,277.77,186.68,Health,Credit Card,Doctor appointment,-1000.56
2021-03-01,277.77,264.07,Travel,Amazon Pay,Vacation flight tickets,-1077.95
2021-03-03,277.77,59.0,Gas,Credit Card,Gas refill for car,-811.41
2021-03-03,277.77,48.41,Groceries,Cash,Weekly grocery shopping,-800.82
2021-03-03,277.77,27.6,Subscriptions,Amazon Pay,Spotify Premium,-780.01
2021-03-03,277.77,222.06,Travel,Amazon Pay,Hotel booking,-974.47
2021-03-03,277.77,11.93,Miscellaneous,Cash,Bought a book,-764.34
2021-03-04,277.77,12.51,Food,Google Pay,Takeout lunch,-856.15
2021-03-04,277.77,59.85,Gas,Credit Card,Gas refill for car,-903.49
2021-03-04,277.77,20.88,Groceries,Amazon Pay,Weekly grocery shopping,-864.52
2021-03-04,277.77,35.82,Miscellaneous,Cash,Bought a book,-879.46
2021-03-05,277.77,14.51,Food,Amazon Pay,Breakfast at diner,-709.44
2021-03-05,277.77,42.53,Gas,Credit Card,Gas refill for car,-737.46
2021-03-05,277.77,38.8,Groceries,Amazon Pay,Weekly grocery shopping,-733.73
2021-03-05,277.77,11.59,Miscellaneous,Credit Card,Bought a book,-706.52
2021-03-06,277.77,215.15,Health,Amazon Pay,Doctor appointment,-739.74
2021-03-07,277.77,18.6,Food,Amazon Pay,Takeout lunch,-480.57
2021-03-07,277.77,59.51,Gas,Cash,Gas refill for car,-521.48
2021-03-07,277.77,89.67,Groceries,Amazon Pay,Weekly grocery shopping,-551.64
2021-03-07,277.77,86.94,Travel,Google Pay,Vacation flight tickets,-548.91
2021-03-08,277.77,10.95,Food,Amazon Pay,Breakfast at diner,-449.87
2021-03-08,277.77,54.85,Gas,Cash,Gas refill for car,-493.77
2021-03-08,277.77,117.63,Travel,Credit Card,Vacation flight tickets,-556.55
2021-03-09,277.77,1024.72,Rent + Utilities,Cash,Utilities payment,-1369.3
2021-03-09,277.77,13.59,Food,Cash,Takeout lunch,-358.17
2021-03-09,277.77,50.34,Gas,Credit Card,Gas refill for car,-394.92
2021-03-09,277.77,26.7,Subscriptions,Credit Card,Amazon Prime,-371.28
2021-03-09,277.77,63.66,Travel,Google Pay,Vacation flight tickets,-408.24
2021-03-09,277.77,21.84,Miscellaneous,Amazon Pay,Gift for friend,-366.42
2021-03-10,277.77,46.6,Gas,Google Pay,Gas refill for car,-1314.26
2021-03-10,277.77,20.03,Subscriptions,Amazon Pay,Spotify Premium,-1287.69
2021-03-10,277.77,53.67,Travel,Google Pay,Hotel booking,-1321.33
2021-03-11,277.77,17.01,Food,Google Pay,Breakfast at diner,-1127.2
2021-03-11,277.77,59.12,Gas,Cash,Gas refill for car,-1169.31
2021-03-11,277.77,141.93,Health,Cash,Doctor appointment,-1252.12
2021-03-11,277.77,22.25,Subscriptions,Credit Card,Amazon Prime,-1132.44
2021-03-11,277.77,157.13,Travel,Amazon Pay,Vacation flight tickets,-1267.32
2021-03-11,277.77,48.66,Miscellaneous,Amazon Pay,Gift for friend,-1158.85
2021-03-12,277.77,1028.7,Rent + Utilities,Amazon Pay,Monthly rent,-2307.22
2021-03-12,277.77,88.27,Groceries,Cash,Weekly grocery shopping,-1366.79
2021-03-13,277.77,17.56,Food,Cash,Breakfast at diner,-2135.28
2021-03-13,277.77,40.92,Gas,Credit Card,Gas refill for car,-2158.64
2021-03-13,277.77,162.39,Travel,Google Pay,Hotel booking,-2280.11
2021-03-13,277.77,42.12,Miscellaneous,Amazon Pay,Bought a book,-2159.84
2021-03-14,277.77,1035.98,Rent + Utilities,Cash,Monthly rent,-3138.92
2021-03-14,277.77,424.29,Health,Credit Card,Hospital bill,-2527.23
2021-03-14,277.77,105.21,Travel,Cash,Hotel booking,-2208.15
2021-03-15,277.77,47.55,Gas,Amazon Pay,Gas refill for car,-3438.2
2021-03-15,277.77,24.14,Subscriptions,Google Pay,Amazon Prime,-3414.79
2021-03-16,277.77,16.53,Food,Amazon Pay,Takeout lunch,-3201.1
2021-03-16,277.77,56.21,Gas,Google Pay,Gas refill for car,-3240.78
2021-03-16,277.77,98.38,Groceries,Credit Card,Restocking pantry items,-3282.95
2021-03-16,277.77,26.69,Subscriptions,Credit Card,Netflix subscription,-3211.26
2021-03-16,277.77,281.62,Travel,Amazon Pay,Vacation flight tickets,-3466.19
2021-03-17,277.77,1027.16,Rent + Utilities,Cash,Monthly rent,-4413.39
2021-03-17,277.77,49.76,Gas,Google Pay,Gas refill for car,-3435.99
2021-03-18,277.77,20.56,Subscriptions,Google Pay,Netflix subscription,-4205.94
2021-03-18,277.77,84.78,Travel,Google Pay,Vacation flight tickets,-4270.16
2021-03-18,277.77,40.38,Miscellaneous,Amazon Pay,Bought a book,-4225.76
2021-03-19,277.77,1031.68,Rent + Utilities,Google Pay,Utilities payment,-5085.01
2021-03-19,277.77,19.49,Subscriptions,Google Pay,Netflix subscription,-4072.82
2021-03-19,277.77,27.08,Miscellaneous,Cash,Gift for friend,-4080.41
2021-03-20,277.77,74.08,Groceries,Cash,Weekly grocery shopping,-4927.89
2021-03-20,277.77,25.82,Subscriptions,Google Pay,Netflix subscription,-4879.63
2021-03-21,277.77,55.48,Gas,Credit Card,Gas refill for car,-4731.42
2021-03-21,277.77,54.63,Groceries,Amazon Pay,Restocking pantry items,-4730.57
2021-03-21,277.77,15.74,Subscriptions,Cash,Spotify Premium,-4691.68
2021-03-22,277.77,14.62,Food,Cash,Takeout lunch,-4538.64
2021-03-22,277.77,112.43,Health,Credit Card,Hospital bill,-4636.45
2021-03-22,277.77,16.83,Subscriptions,Google Pay,Netflix subscription,-4540.85
2021-03-23,277.77,1032.6,Rent + Utilities,Google Pay,Utilities payment,-5422.73
2021-03-23,277.77,10.87,Food,Google Pay,Dinner from restaurant,-4401.0
2021-03-23,277.77,16.11,Miscellaneous,Amazon Pay,Bought a book,-4406.24
2021-03-24,277.77,55.56,Gas,Google Pay,Gas refill for car,-5227.5
2021-03-25,277.77,1039.34,Rent + Utilities,Amazon Pay,Monthly rent,-5989.07
2021-03-25,277.77,53.41,Gas,Cash,Gas refill for car,-5003.14
2021-03-25,277.77,74.76,Groceries,Credit Card,Restocking pantry items,-5024.49
2021-03-25,277.77,185.84,Health,Google Pay,Doctor appointment,-5135.57
2021-03-25,277.77,25.91,Subscriptions,Cash,Spotify Premium,-4975.64
2021-03-25,277.77,161.15,Travel,Cash,Hotel booking,-5110.88
2021-03-25,277.77,35.88,Miscellaneous,Google Pay,Gift for friend,-4985.61
2021-03-26,277.77,1038.44,Rent + Utilities,Google Pay,Utilities payment,-7286.69
2021-03-26,277.77,19.88,Food,Cash,Dinner from restaurant,-6268.13
2021-03-26,277.77,42.95,Groceries,Credit Card,Restocking pantry items,-6291.2
2021-03-26,277.77,22.87,Miscellaneous,Amazon Pay,Bought a book,-6271.12
2021-03-27,277.77,13.84,Food,Credit Card,Takeout lunch,-7108.46
2021-03-27,277.77,43.3,Groceries,Amazon Pay,Restocking pantry items,-7137.92
2021-03-27,277.77,458.73,Health,Amazon Pay,Hospital bill,-7553.35
2021-03-27,277.77,28.91,Subscriptions,Amazon Pay,Spotify Premium,-7123.53
2021-03-28,277.77,59.05,Groceries,Cash,Restocking pantry items,-7420.68
2021-03-28,277.77,539.25,Health,Amazon Pay,Doctor appointment,-7900.88
2021-03-28,277.77,28.27,Subscriptions,Cash,Spotify Premium,-7389.9
2021-03-28,277.77,40.27,Miscellaneous,Amazon Pay,Gift for friend,-7401.9
2021-03-29,277.77,1021.54,Rent + Utilities,Google Pay,Utilities payment,-8772.24
2021-03-29,277.77,55.64,Groceries,Credit Card,Restocking pantry items,-7806.34
2021-03-29,277.77,108.16,Health,Credit Card,Hospital bill,-7858.86
2021-03-30,277.77,1022.69,Rent + Utilities,Credit Card,Utilities payment,-9680.96
2021-03-30,277.77,41.93,Gas,Amazon Pay,Gas refill for car,-8700.2
2021-03-30,277.77,406.89,Health,Cash,Doctor appointment,-9065.16
2021-03-30,277.77,22.29,Subscriptions,Amazon Pay,Amazon Prime,-8680.56
2021-03-30,277.77,140.15,Travel,Credit Card,Hotel booking,-8798.42
2021-03-31,277.77,1021.18,Rent + Utilities,Amazon Pay,Monthly rent,-11035.63
2021-03-31,277.77,58.77,Gas,Credit Card,Gas refill for car,-10073.22
2021-03-31,277.77,16.01,Subscriptions,Cash,Spotify Premium,-10030.46
2021-03-31,277.77,19.57,Miscellaneous,Amazon Pay,Bought a book,-10034.02
2021-04-01,277.77,1028.5,Rent + Utilities,Credit Card,Monthly rent,-3547.61
2021-04-01,277.77,15.91,Food,Google Pay,Takeout lunch,-2535.02
2021-04-01,277.77,299.04,Health,Google Pay,Hospital bill,-2818.15
2021-04-01,277.77,19.6,Subscriptions,Google Pay,Spotify Premium,-2538.71
2021-04-01,277.77,71.08,Travel,Cash,Hotel booking,-2590.19
2021-04-02,277.77,1027.31,Rent + Utilities,Credit Card,Utilities payment,-4702.78
2021-04-02,277.77,29.35,Subscriptions,Google Pay,Spotify Premium,-3704.82
2021-04-03,277.77,1036.91,Rent + Utilities,Google Pay,Utilities payment,-5491.27
2021-04-03,277.77,11.31,Food,Google Pay,Breakfast at diner,-4465.67
2021-04-03,277.77,87.46,Groceries,Google Pay,Weekly grocery shopping,-4541.82
2021-04-03,277.77,38.42,Miscellaneous,Amazon Pay,Gift for friend,-4492.78
2021-04-04,277.77,1024.52,Rent + Utilities,Google Pay,Utilities payment,-6375.21
2021-04-04,277.77,42.11,Gas,Google Pay,Gas refill for car,-5392.8
2021-04-04,277.77,61.29,Travel,Google Pay,Vacation flight tickets,-5411.98
2021-04-04,277.77,27.52,Miscellaneous,Google Pay,Bought a book,-5378.21
2021-04-05,277.77,44.83,Gas,Cash,Gas refill for car,-6273.19
2021-04-06,277.77,45.69,Groceries,Credit Card,Weekly grocery shopping,-6041.11
2021-04-06,277.77,256.46,Travel,Credit Card,Vacation flight tickets,-6251.88
2021-04-07,277.77,1024.78,Rent + Utilities,Google Pay,Monthly rent,-7044.58
2021-04-07,277.77,22.19,Subscriptions,Credit Card,Netflix subscription,-6041.99
2021-04-07,277.77,16.13,Miscellaneous,Cash,Bought a book,-6035.93
2021-04-08,277.77,55.06,Gas,Google Pay,Gas refill for car,-6860.19
2021-04-08,277.77,479.73,Health,Credit Card,Hospital bill,-7284.86
2021-04-08,277.77,191.87,Travel,Credit Card,Vacation flight tickets,-6997.0
2021-04-09,277.77,93.69,Groceries,Amazon Pay,Weekly grocery shopping,-7347.71
2021-04-09,277.77,15.36,Subscriptions,Credit Card,Spotify Premium,-7269.38
2021-04-10,277.77,18.17,Food,Amazon Pay,Breakfast at diner,-7103.47
2021-04-11,277.77,1036.08,Rent + Utilities,Google Pay,Utilities payment,-7861.78
2021-04-11,277.77,58.01,Gas,Cash,Gas refill for car,-6883.71
2021-04-11,277.77,16.42,Subscriptions,Google Pay,Spotify Premium,-6842.12
2021-04-11,277.77,13.57,Miscellaneous,Cash,Bought a book,-6839.27
2021-04-12,277.77,1025.62,Rent + Utilities,Google Pay,Monthly rent,-8697.63
2021-04-12,277.77,41.2,Gas,Amazon Pay,Gas refill for car,-7713.21
2021-04-12,277.77,62.52,Groceries,Credit Card,Weekly grocery shopping,-7734.53
2021-04-13,277.77,1039.73,Rent + Utilities,Amazon Pay,Monthly rent,-9563.31
2021-04-13,277.77,17.96,Food,Amazon Pay,Dinner from restaurant,-8541.54
2021-04-13,277.77,47.31,Gas,Google Pay,Gas refill for car,-8570.89
2021-04-13,277.77,47.41,Groceries,Google Pay,Restocking pantry items,-8570.99
2021-04-14,277.77,88.53,Groceries,Cash,Restocking pantry items,-9486.75
2021-04-14,277.77,16.35,Miscellaneous,Cash,Bought a book,-9414.57
2021-04-15,277.77,1031.07,Rent + Utilities,Cash,Monthly rent,-10256.4
2021-04-15,277.77,45.12,Gas,Credit Card,Gas refill for car,-9270.45
2021-04-15,277.77,28.65,Groceries,Credit Card,Weekly grocery shopping,-9253.98
2021-04-15,277.77,21.0,Miscellaneous,Google Pay,Bought a book,-9246.33
2021-04-16,277.77,1039.46,Rent + Utilities,Google Pay,Utilities payment,-11112.86
2021-04-16,277.77,13.03,Food,Cash,Dinner from restaurant,-10086.43
